Unicode,Uncoded
\u2044,⁄
\u0020,
\u0021,!
\u0022,""""
\u0023,#
\u0024,$
\u0025,%
\u0026,&
\u0027,'
\u0028,(
\u0029,)
\u002a,*
\u002b,+
\u002c,","
\u002d,-
\u002e,.
\u002f,/
\u0041,A
\u0042,B
\u0043,C
\u0044,D
\u0045,E
\u0046,F
\u0047,G
\u0048,H
\u0049,I
\u004a,J
\u004b,K
\u004c,L
\u004d,M
\u004e,N
\u004f,O
\u0050,P
\u0051,Q
\u0052,R
\u0053,S
\u0054,T
\u0055,U
\u0056,V
\u0057,W
\u0058,X
\u0059,Y
\u005a,Z
\u005b,[
\u005c,\
\u005d,]
\u005e,^
\u005f,_
\u0060,`
\u0061,a
\u0062,b
\u0063,c
\u0064,d
\u0065,e
\u0066,f
\u0067,g
\u0068,h
\u0069,i
\u006a,j
\u006b,k
\u006c,l
\u006d,m
\u006e,n
\u006f,o
\u0070,p
\u0071,q
\u0072,r
\u0073,s
\u0074,t
\u0075,u
\u0076,v
\u0077,w
\u0078,x
\u0079,y
\u007a,z
\u007b,{
\u007c,|
\u007d,}
\u007e,~
\u00a0,
\u00a1,¡
\u00a2,¢
\u00a3,£
\u00a4,¤
\u00a5,¥
\u00a6,¦
\u00a7,§
\u00a8,¨
\u00a9,©
\u00aa,ª
\u00ab,«
\u00ac,¬
\u00ad,
\u00ae,®
\u00af,¯
\u00b0,°
\u00b1,±
\u00b2,²
\u00b3,³
\u00b4,´
\u00b5,µ
\u00b6,¶
\u00b7,·
\u00b8,¸
\u00b9,¹
\u00ba,º
\u00bb,»
\u00bc,¼
\u00bd,½
\u00be,¾
\u00bf,¿
\u00c0,À
\u00c1,Á
\u00c2,Â
\u00c3,Ã
\u00c4,Ä
\u00c5,Å
\u00c6,Æ
\u00c7,Ç
\u00c8,È
\u00c9,É
\u00ca,Ê
\u00cb,Ë
\u00cc,Ì
\u00cd,Í
\u00ce,Î
\u00cf,Ï
\u00d0,Ð
\u00d1,Ñ
\u00d2,Ò
\u00d3,Ó
\u00d4,Ô
\u00d5,Õ
\u00d6,Ö
\u00d7,×
\u00d8,Ø
\u00d9,Ù
\u00da,Ú
\u00db,Û
\u00dc,Ü
\u00dd,Ý
\u00de,Þ
\u00df,ß
\u00e0,à
\u00e1,á
\u00e2,â
\u00e3,ã
\u00e4,ä
\u00e5,å
\u00e6,æ
\u00e7,ç
\u00e8,è
\u00e9,é
\u00ea,ê
\u00eb,ë
\u00ec,ì
\u00ed,í
\u00ee,î
\u00ef,ï
\u00f0,ð
\u00f1,ñ
\u00f2,ò
\u00f3,ó
\u00f4,ô
\u00f5,õ
\u00f6,ö
\u00f7,÷
\u00f8,ø
\u00f9,ù
\u00fa,ú
\u00fb,û
\u00fc,ü
\u00fd,ý
\u00fe,þ
\u00ff,ÿ
\u0100,Ā
\u0101,ā
\u0102,Ă
\u0103,ă
\u0104,Ą
\u0105,ą
\u0106,Ć
\u0107,ć
\u0108,Ĉ
\u0109,ĉ
\u010a,Ċ
\u010b,ċ
\u010c,Č
\u010d,č
\u010e,Ď
\u010f,ď
\u0110,Đ
\u0111,đ
\u0112,Ē
\u0113,ē
\u0114,Ĕ
\u0115,ĕ
\u0116,Ė
\u0117,ė
\u0118,Ę
\u0119,ę
\u011a,Ě
\u011b,ě
\u011c,Ĝ
\u011d,ĝ
\u011e,Ğ
\u011f,ğ
\u0120,Ġ
\u0121,ġ
\u0122,Ģ
\u0123,ģ
\u0124,Ĥ
\u0125,ĥ
\u0126,Ħ
\u0127,ħ
\u0128,Ĩ
\u0129,ĩ
\u012a,Ī
\u012b,ī
\u012c,Ĭ
\u012d,ĭ
\u012e,Į
\u012f,į
\u0130,İ
\u0131,ı
\u0132,Ĳ
\u0133,ĳ
\u0134,Ĵ
\u0135,ĵ
\u0136,Ķ
\u0137,ķ
\u0138,ĸ
\u0139,Ĺ
\u013a,ĺ
\u013b,Ļ
\u013c,ļ
\u013d,Ľ
\u013e,ľ
\u013f,Ŀ
\u0140,ŀ
\u0141,Ł
\u0142,ł
\u0143,Ń
\u0144,ń
\u0145,Ņ
\u0146,ņ
\u0147,Ň
\u0148,ň
\u0149,ŉ
\u014a,Ŋ
\u014b,ŋ
\u014c,Ō
\u014d,ō
\u014e,Ŏ
\u014f,ŏ
\u0150,Ő
\u0151,ő
\u0152,Œ
\u0153,œ
\u0154,Ŕ
\u0155,ŕ
\u0156,Ŗ
\u0157,ŗ
\u0158,Ř
\u0159,ř
\u015a,Ś
\u015b,ś
\u015c,Ŝ
\u015d,ŝ
\u015e,Ş
\u015f,ş
\u0160,Š
\u0161,š
\u0162,Ţ
\u0163,ţ
\u0164,Ť
\u0165,ť
\u0166,Ŧ
\u0167,ŧ
\u0168,Ũ
\u0169,ũ
\u016a,Ū
\u016b,ū
\u016c,Ŭ
\u016d,ŭ
\u016e,Ů
\u016f,ů
\u0170,Ű
\u0171,ű
\u0172,Ų
\u0173,ų
\u0174,Ŵ
\u0175,ŵ
\u0176,Ŷ
\u0177,ŷ
\u0178,Ÿ
\u0179,Ź
\u017a,ź
\u017b,Ż
\u017c,ż
\u017d,Ž
\u017e,ž
\u017f,ſ
\u0180,ƀ
\u0181,Ɓ
\u0182,Ƃ
\u0183,ƃ
\u0184,Ƅ
\u0185,ƅ
\u0186,Ɔ
\u0187,Ƈ
\u0188,ƈ
\u0189,Ɖ
\u018a,Ɗ
\u018b,Ƌ
\u018c,ƌ
\u018d,ƍ
\u018e,Ǝ
\u018f,Ə
\u0190,Ɛ
\u0191,Ƒ
\u0192,ƒ
\u0193,Ɠ
\u0194,Ɣ
\u0195,ƕ
\u0196,Ɩ
\u0197,Ɨ
\u0198,Ƙ
\u0199,ƙ
\u019a,ƚ
\u019b,ƛ
\u019c,Ɯ
\u019d,Ɲ
\u019e,ƞ
\u019f,Ɵ
\u01a0,Ơ
\u01a1,ơ
\u01a2,Ƣ
\u01a3,ƣ
\u01a4,Ƥ
\u01a5,ƥ
\u01a6,Ʀ
\u01a7,Ƨ
\u01a8,ƨ
\u01a9,Ʃ
\u01aa,ƪ
\u01ab,ƫ
\u01ac,Ƭ
\u01ad,ƭ
\u01ae,Ʈ
\u01af,Ư
\u01b0,ư
\u01b1,Ʊ
\u01b2,Ʋ
\u01b3,Ƴ
\u01b4,ƴ
\u01b5,Ƶ
\u01b6,ƶ
\u01b7,Ʒ
\u01b8,Ƹ
\u01b9,ƹ
\u01ba,ƺ
\u01bb,ƻ
\u01bc,Ƽ
\u01bd,ƽ
\u01be,ƾ
\u01bf,ƿ
\u01c0,ǀ
\u01c1,ǁ
\u01c2,ǂ
\u01c3,ǃ
\u01c4,Ǆ
\u01c5,ǅ
\u01c6,ǆ
\u01c7,Ǉ
\u01c8,ǈ
\u01c9,ǉ
\u01ca,Ǌ
\u01cb,ǋ
\u01cc,ǌ
\u01cd,Ǎ
\u01ce,ǎ
\u01cf,Ǐ
\u01d0,ǐ
\u01d1,Ǒ
\u01d2,ǒ
\u01d3,Ǔ
\u01d4,ǔ
\u01d5,Ǖ
\u01d6,ǖ
\u01d7,Ǘ
\u01d8,ǘ
\u01d9,Ǚ
\u01da,ǚ
\u01db,Ǜ
\u01dc,ǜ
\u01dd,ǝ
\u01de,Ǟ
\u01df,ǟ
\u01e0,Ǡ
\u01e1,ǡ
\u01e2,Ǣ
\u01e3,ǣ
\u01e4,Ǥ
\u01e5,ǥ
\u01e6,Ǧ
\u01e7,ǧ
\u01e8,Ǩ
\u01e9,ǩ
\u01ea,Ǫ
\u01eb,ǫ
\u01ec,Ǭ
\u01ed,ǭ
\u01ee,Ǯ
\u01ef,ǯ
\u01f0,ǰ
\u01f1,Ǳ
\u01f2,ǲ
\u01f3,ǳ
\u01f4,Ǵ
\u01f5,ǵ
\u01f6,Ƕ
\u01f7,Ƿ
\u01f8,Ǹ
\u01f9,ǹ
\u01fa,Ǻ
\u01fb,ǻ
\u01fc,Ǽ
\u01fd,ǽ
\u01fe,Ǿ
\u01ff,ǿ
\u0200,Ȁ
\u0201,ȁ
\u0202,Ȃ
\u0203,ȃ
\u0204,Ȅ
\u0205,ȅ
\u0206,Ȇ
\u0207,ȇ
\u0208,Ȉ
\u0209,ȉ
\u020a,Ȋ
\u020b,ȋ
\u020c,Ȍ
\u020d,ȍ
\u020e,Ȏ
\u020f,ȏ
\u0210,Ȑ
\u0211,ȑ
\u0212,Ȓ
\u0213,ȓ
\u0214,Ȕ
\u0215,ȕ
\u0216,Ȗ
\u0217,ȗ
\u0218,Ș
\u0219,ș
\u021a,Ț
\u021b,ț
\u021c,Ȝ
\u021d,ȝ
\u021e,Ȟ
\u021f,ȟ
\u0220,Ƞ
\u0221,ȡ
\u0222,Ȣ
\u0223,ȣ
\u0224,Ȥ
\u0225,ȥ
\u0226,Ȧ
\u0227,ȧ
\u0228,Ȩ
\u0229,ȩ
\u022a,Ȫ
\u022b,ȫ
\u022c,Ȭ
\u022d,ȭ
\u022e,Ȯ
\u022f,ȯ
\u0230,Ȱ
\u0231,ȱ
\u0232,Ȳ
\u0233,ȳ
\u0234,ȴ
\u0235,ȵ
\u0236,ȶ
\u0237,ȷ
\u0238,ȸ
\u0239,ȹ
\u023a,Ⱥ
\u023b,Ȼ
\u023c,ȼ
\u023d,Ƚ
\u023e,Ⱦ
\u023f,ȿ
\u1e02,Ḃ
\u1e03,ḃ
\u1e0a,Ḋ
\u1e0b,ḋ
\u1e1e,Ḟ
\u1e1f,ḟ
\u1e40,Ṁ
\u1e41,ṁ
\u1e56,Ṗ
\u1e57,ṗ
\u1e60,Ṡ
\u1e61,ṡ
\u1e6a,Ṫ
\u1e6b,ṫ
\u1e80,Ẁ
\u1e81,ẁ
\u1e82,Ẃ
\u1e83,ẃ
\u1e84,Ẅ
\u1e85,ẅ
\u1e9b,ẛ
\u1ef2,Ỳ
\u1ef3,ỳ
\u2013,–
\u2014,—
\u2015,―
\u2017,‗
\u2018,'
\u2019,'
\u201a,‚
\u201b,'
\u201c,""""
\u201d,""""
\u201e,„
\u2020,†
\u2021,‡
\u2022,•
\u2026,…
\u2030,‰
\u2032,′
\u2033,″
\u2039,‹
\u203a,›
\u203c,‼
\u203e,‾
\u2044,⁄
\u2009, 
\u2010,-
\u30b3,γ
\u03b1,α
\u03b2,β
\u03b3,γ
\u03b4,δ
\u03b5,ε
\u03b6,ζ
\u03b7,η
\u03b8,θ
\u03b9,ι
\u03ba,κ
\u03bb,λ
\u03bc,μ
\u03bd,ν
\u03be,ξ
\u03bf,ο
\u03c0,π
\u03c1,ρ
\u03c2,ς
\u03c3,σ
\u03c4,τ
\u03c5,υ
\u03c6,φ
\u03c7,χ
\u03c8,ψ
\u03c9,ω
\u0391,Α
\u0392,Β
\u0393,Γ
\u0394,Δ
\u0395,Ε
\u0396,Ζ
\u0397,Η
\u0398,Θ
\u0399,Ι
\u039a,Κ
\u039b,Λ
\u039c,Μ
\u039d,Ν
\u039e,Ξ
\u039f,Ο
\u03a0,Π
\u03a1,Ρ
\u03a3,Σ
\u03a4,Τ
\u03a5,Υ
\u03a6,Φ
\u03a7,Χ
\u03a8,Ψ
\u03a9,Ω
\u03f4,ϴ
\xa0, 
\xad,
\u2122,™
\u2005, 
\u2295,⊕
\u202f, 
\u220f,∏
\x8c,
\xa0, 
\xad,
\n , 
\u2194, 
